Rank,Name,Matches,Record,Win Pct.,Serv Pts. Won,In-Play Serv Pts. Won,Aces,Ace%,Double Faults,Double Fault%,Double Fault on 2nd,1st serves in%,1st serves won%,2nd serves won%,2nd serve in play won%,Service Games Won%,Pts/SG,Pts lost/SG
1,Jannik Sinner [ITA],79,64-15,81.00%,68.00%,66.90%,492,8.20%,146,2.40%,6.00%,59.80%,76.00%,56.10%,59.70%,87.30%,6.2,2
2,Carlos Alcaraz [ESP],77,65-12,84.40%,66.80%,66.90%,317,5.40%,168,2.90%,8.40%,65.70%,72.20%,56.30%,61.50%,85.40%,6.2,2.1
3,Alexander Zverev [GER],82,55-27,67.10%,66.50%,65.40%,650,10.20%,237,3.70%,12.60%,70.50%,73.70%,49.20%,56.30%,84.20%,6.2,2.1
4,Taylor Fritz [USA],76,53-23,69.70%,68.80%,66.70%,722,12.20%,172,2.90%,7.30%,60.00%,78.40%,54.30%,58.60%,86.70%,6.1,1.9
5,Novak Djokovic [SRB],63,56-7,88.90%,69.90%,69.60%,456,8.60%,179,3.40%,9.40%,63.90%,77.00%,57.40%,63.30%,88.90%,6.1,1.8
6,Jack Draper [GBR],31,19-12,61.30%,66.50%,64.60%,261,11.70%,77,3.40%,8.70%,60.50%,76.90%,50.70%,55.60%,86.30%,6.4,2.1
7,Alex De Minaur [AUS],72,46-26,63.90%,64.00%,64.70%,249,4.70%,191,3.60%,8.20%,56.60%,72.20%,53.30%,58.10%,79.30%,6.3,2.3
8,Andrey Rublev [RUS],81,56-25,69.10%,66.10%,64.40%,628,9.40%,162,2.40%,6.30%,61.50%,75.40%,51.30%,54.80%,84.20%,6.3,2.1
9,Daniil Medvedev [RUS],84,66-18,78.60%,66.00%,66.50%,591,9.20%,347,5.40%,15.10%,64.20%,75.40%,49.10%,57.80%,84.70%,6.4,2.2
10,Casper Ruud [NOR],59,36-23,61.00%,64.90%,64.80%,315,6.30%,167,3.40%,9.20%,63.50%,71.30%,53.70%,59.10%,83.10%,6.4,2.3
11,Lorenzo Musetti [ITA],61,32-29,52.50%,63.10%,63.20%,236,5.40%,147,3.40%,8.70%,61.60%,70.60%,51.10%,56.00%,78.70%,6.3,2.3
12,Tommy Paul [USA],68,41-27,60.30%,64.70%,63.60%,456,8.10%,163,2.90%,7.70%,62.20%,72.10%,52.70%,57.10%,81.40%,6.4,2.2
13,Holger Rune [DEN],68,44-24,64.70%,65.10%,66.00%,362,6.70%,260,4.80%,12.80%,62.00%,72.40%,53.20%,61.00%,83.20%,6.3,2.2
14,Arthur Fils [FRA],40,23-17,57.50%,64.60%,64.50%,258,8.40%,134,4.30%,11.20%,61.20%,74.20%,49.50%,55.70%,82.00%,6.4,2.3
15,Ben Shelton [USA],49,25-24,51.00%,67.00%,66.40%,520,11.90%,225,5.10%,14.20%,63.80%,75.80%,51.50%,60.00%,84.30%,6.2,2.1
16,Stefanos Tsitsipas [GRE],73,49-24,67.10%,69.90%,68.70%,557,9.60%,154,2.70%,7.40%,64.00%,78.10%,55.30%,59.70%,88.80%,6,1.8
17,Grigor Dimitrov [BUL],62,41-21,66.10%,66.60%,66.30%,461,9.50%,212,4.40%,11.30%,61.10%,76.60%,51.00%,57.50%,83.90%,6.2,2.1
18,Frances Tiafoe [USA],60,39-21,65.00%,67.10%,65.40%,495,10.60%,137,2.90%,7.40%,60.10%,76.40%,53.20%,57.50%,85.70%,6.3,2.1
19,Felix Auger Aliassime [CAN],41,22-19,53.70%,66.40%,66.60%,375,11.30%,199,6.00%,15.10%,60.30%,78.00%,48.80%,57.40%,84.20%,6.3,2.1
20,Tomas Machac [CZE],16,8-8,50.00%,62.50%,61.40%,86,7.00%,33,2.70%,6.90%,61.00%,69.70%,51.30%,55.10%,80.80%,6.7,2.5
21,Ugo Humbert [FRA],56,33-23,58.90%,65.10%,64.20%,369,8.60%,142,3.30%,8.40%,60.60%,74.20%,51.30%,56.00%,81.70%,6.3,2.2
22,Francisco Cerundolo [ARG],64,38-26,59.40%,61.10%,62.40%,195,3.70%,229,4.30%,12.70%,65.90%,67.60%,48.60%,55.60%,76.10%,6.6,2.6
23,Jakub Mensik [CZE],4,3-1,75.00%,67.40%,65.90%,34,10.20%,10,3.00%,6.50%,54.20%,77.90%,54.90%,58.70%,82.80%,5.8,1.9
24,Sebastian Korda [USA],42,26-16,61.90%,66.40%,64.30%,392,11.00%,101,2.80%,7.40%,61.90%,74.70%,52.90%,57.20%,84.30%,6.4,2.2
25,Alexei Popyrin [AUS],46,23-23,50.00%,66.20%,64.20%,482,11.60%,138,3.30%,8.70%,61.70%,76.40%,49.70%,54.40%,84.50%,6.5,2.2
26,Jiri Lehecka [CZE],60,34-26,56.70%,64.90%,64.20%,327,7.20%,132,2.90%,8.30%,64.90%,72.00%,51.70%,56.40%,81.20%,6.3,2.2
27,Karen Khachanov [RUS],52,34-18,65.40%,66.40%,64.80%,362,9.00%,99,2.50%,6.80%,63.60%,73.90%,53.30%,57.10%,84.00%,6.3,2.1
28,Hubert Hurkacz [POL],68,45-23,66.20%,69.20%,64.70%,1044,16.80%,138,2.20%,6.20%,63.90%,79.60%,50.70%,54.00%,88.10%,6.2,1.9
29,Denis Shapovalov [CAN],26,13-13,50.00%,63.80%,66.60%,226,9.80%,209,9.00%,20.70%,56.40%,74.50%,50.00%,63.10%,80.20%,6.2,2.2
30,Alejandro Davidovich Fokina [ESP],59,32-27,54.20%,62.50%,62.30%,185,4.00%,103,2.20%,6.50%,65.90%,67.40%,52.90%,56.50%,78.20%,6.6,2.5
31,Alejandro Tabilo [CHI],8,3-5,37.50%,62.70%,61.00%,58,9.10%,20,3.10%,8.60%,63.50%,69.70%,50.40%,55.20%,76.10%,6.9,2.6
32,Brandon Nakashima [USA],33,13-20,39.40%,66.80%,65.40%,247,8.80%,69,2.50%,6.90%,64.60%,75.10%,51.60%,55.50%,84.40%,6.3,2.1
33,Matteo Berrettini [ITA],23,12-11,52.20%,69.30%,66.70%,217,12.10%,39,2.20%,6.20%,65.00%,79.20%,51.00%,54.30%,89.70%,6.1,1.9
34,Giovanni Mpetshi Perricard [FRA],5,2-3,40.00%,66.70%,65.40%,68,14.80%,27,5.90%,16.00%,63.20%,76.20%,50.30%,59.90%,84.00%,6.1,2
35,Sebastian Baez [ARG],57,31-26,54.40%,61.80%,62.10%,116,2.80%,89,2.10%,7.60%,72.00%,65.10%,53.30%,57.60%,76.50%,6.4,2.4
36,Flavio Cobolli [ITA],12,5-7,41.70%,60.90%,60.90%,47,5.50%,31,3.60%,8.40%,56.80%,69.40%,49.70%,54.30%,76.10%,6.4,2.5
37,Tallon Griekspoor [NED],60,36-24,60.00%,67.40%,66.50%,511,10.60%,196,4.10%,11.10%,63.50%,76.30%,51.80%,58.20%,86.40%,6.3,2.1
38,Alex Michelsen [USA],15,7-8,46.70%,64.30%,63.80%,73,5.90%,32,2.60%,7.90%,67.10%,69.20%,54.10%,58.70%,81.10%,6.5,2.3
39,Jordan Thompson [AUS],42,19-23,45.20%,66.70%,63.70%,343,11.00%,51,1.60%,4.00%,59.30%,74.30%,55.60%,57.90%,83.60%,6.2,2.1
40,Alexandre Muller [FRA],23,9-14,39.10%,59.20%,58.60%,86,4.80%,41,2.30%,6.50%,64.30%,64.50%,49.60%,53.00%,71.30%,6.7,2.7
41,Nuno Borges [POR],27,9-18,33.30%,61.70%,62.10%,92,4.70%,67,3.40%,9.80%,64.60%,67.80%,50.70%,56.10%,74.80%,6.5,2.5
42,Matteo Arnaldi [ITA],35,20-15,57.10%,62.50%,62.50%,192,6.10%,118,3.80%,9.00%,58.00%,69.00%,53.50%,58.70%,80.50%,6.7,2.5
