Rank,Name,Matches,Record,Win Pct.,Serv Pts. Won,In-Play Serv Pts. Won,Aces,Ace%,Double Faults,Double Fault%,Double Fault on 2nd,1st serves in%,1st serves won%,2nd serves won%,2nd serve in play won%,Service Games Won%,Pts/SG,Pts lost/SG
1,Jannik Sinner [ITA],79,73-6,92.40%,71.10%,69.80%,594,9.90%,144,2.40%,6.30%,61.60%,79.30%,57.80%,61.70%,91.50%,5.9,1.7
2,Carlos Alcaraz [ESP],67,54-13,80.60%,68.10%,67.90%,308,6.30%,130,2.60%,7.70%,65.50%,73.60%,57.70%,62.50%,86.70%,6.1,1.9
3,Alexander Zverev [GER],89,68-21,76.40%,70.40%,68.60%,808,11.50%,185,2.60%,9.20%,71.40%,76.60%,54.80%,60.30%,90.00%,6,1.8
4,Taylor Fritz [USA],76,53-23,69.70%,69.90%,67.10%,795,13.10%,137,2.30%,6.10%,62.90%,78.30%,55.70%,59.30%,88.50%,6,1.8
5,Novak Djokovic [SRB],46,37-9,80.40%,68.40%,67.80%,299,8.20%,106,2.90%,8.20%,64.40%,75.40%,55.90%,60.90%,85.90%,6.1,1.9
6,Jack Draper [GBR],61,39-22,63.90%,67.00%,66.00%,513,10.80%,194,4.10%,10.10%,59.60%,78.00%,50.90%,56.60%,84.10%,6.1,2
7,Alex De Minaur [AUS],68,47-21,69.10%,64.40%,64.60%,312,6.20%,184,3.60%,8.00%,54.60%,72.60%,54.60%,59.30%,80.70%,6.2,2.2
8,Andrey Rublev [RUS],69,43-26,62.30%,67.70%,66.40%,578,10.20%,182,3.20%,8.40%,61.80%,76.40%,53.60%,58.50%,86.80%,6.2,2
9,Daniil Medvedev [RUS],65,46-19,70.80%,64.00%,64.80%,434,8.00%,298,5.50%,14.30%,61.80%,73.20%,49.30%,57.50%,80.00%,6.5,2.3
10,Casper Ruud [NOR],76,51-25,67.10%,66.60%,65.90%,426,7.50%,152,2.70%,7.80%,65.80%,73.00%,54.40%,59.00%,84.00%,6.3,2.1
11,Lorenzo Musetti [ITA],68,40-28,58.80%,64.00%,63.80%,242,4.40%,115,2.10%,5.90%,64.70%,70.40%,52.40%,55.70%,78.80%,6.3,2.3
12,Tommy Paul [USA],64,45-19,70.30%,65.20%,64.10%,355,7.00%,109,2.10%,5.60%,61.90%,71.60%,55.00%,58.30%,82.20%,6.4,2.2
13,Holger Rune [DEN],68,45-23,66.20%,66.50%,66.00%,456,8.40%,194,3.60%,9.00%,60.20%,74.00%,55.20%,60.60%,84.70%,6.3,2.1
14,Arthur Fils [FRA],66,38-28,57.60%,65.20%,65.10%,429,8.40%,220,4.30%,11.10%,61.10%,75.20%,49.50%,55.70%,82.30%,6.3,2.2
15,Ben Shelton [USA],67,41-26,61.20%,69.00%,68.10%,644,11.00%,223,3.80%,12.20%,69.00%,75.60%,54.20%,61.80%,88.80%,6.3,2
16,Stefanos Tsitsipas [GRE],67,45-22,67.20%,66.70%,66.30%,446,8.40%,199,3.80%,9.60%,60.80%,74.30%,54.80%,60.60%,86.40%,6.4,2.1
17,Grigor Dimitrov [BUL],64,46-18,71.90%,69.40%,69.30%,541,10.70%,234,4.60%,12.00%,61.20%,80.10%,52.40%,59.60%,87.30%,6,1.9
18,Frances Tiafoe [USA],57,32-25,56.10%,65.90%,64.40%,482,9.60%,144,2.90%,7.00%,59.00%,74.20%,54.10%,58.10%,84.00%,6.5,2.2
19,Felix Auger Aliassime [CAN],57,32-25,56.10%,66.30%,66.10%,463,11.00%,224,5.30%,14.30%,62.70%,75.50%,50.90%,59.30%,84.00%,6.2,2.1
20,Tomas Machac [CZE],56,33-23,58.90%,63.20%,63.00%,281,6.30%,148,3.30%,9.20%,64.00%,69.10%,52.80%,58.10%,79.00%,6.4,2.4
21,Ugo Humbert [FRA],63,39-24,61.90%,66.80%,65.30%,434,8.60%,116,2.30%,6.40%,63.80%,73.50%,55.00%,58.80%,85.90%,6.2,2.1
22,Francisco Cerundolo [ARG],66,35-31,53.00%,62.10%,62.90%,226,4.20%,201,3.80%,10.50%,64.30%,67.90%,51.70%,57.80%,77.40%,6.6,2.5
23,Jakub Mensik [CZE],45,25-20,55.60%,63.40%,61.50%,471,12.00%,174,4.40%,11.10%,59.90%,74.10%,47.30%,53.20%,80.50%,6.7,2.5
24,Sebastian Korda [USA],50,31-19,62.00%,65.60%,63.20%,391,10.50%,87,2.30%,5.90%,60.20%,74.40%,52.30%,55.50%,82.10%,6.2,2.1
25,Alexei Popyrin [AUS],50,28-22,56.00%,66.20%,64.40%,476,11.80%,148,3.70%,10.20%,64.10%,75.10%,50.40%,56.20%,84.50%,6.4,2.2
26,Jiri Lehecka [CZE],49,30-19,61.20%,66.30%,64.70%,396,10.90%,125,3.40%,9.00%,61.70%,75.50%,51.50%,56.60%,84.00%,6.3,2.1
27,Karen Khachanov [RUS],59,37-22,62.70%,66.60%,64.60%,449,9.60%,100,2.10%,6.00%,64.30%,74.60%,52.20%,55.50%,83.20%,6.2,2.1
28,Hubert Hurkacz [POL],59,40-19,67.80%,69.30%,65.40%,776,14.90%,101,1.90%,5.30%,63.20%,77.90%,54.50%,57.60%,88.70%,6.2,1.9
29,Denis Shapovalov [CAN],49,26-23,53.10%,66.40%,68.40%,407,10.40%,304,7.80%,19.50%,60.20%,77.00%,50.40%,62.50%,85.30%,6.3,2.1
30,Alejandro Davidovich Fokina [ESP],40,18-22,45.00%,62.80%,62.40%,206,6.20%,100,3.00%,9.30%,67.60%,68.20%,51.70%,56.90%,78.90%,6.6,2.4
31,Alejandro Tabilo [CHI],59,32-27,54.20%,65.60%,64.00%,470,10.00%,147,3.10%,8.70%,64.30%,74.80%,49.00%,53.60%,83.70%,6.4,2.2
32,Brandon Nakashima [USA],50,27-23,54.00%,68.20%,65.20%,438,11.40%,57,1.50%,4.40%,66.30%,74.50%,55.90%,58.40%,88.10%,6.3,2
33,Matteo Berrettini [ITA],44,32-12,72.70%,69.80%,66.70%,422,12.90%,60,1.80%,5.90%,68.60%,78.00%,52.00%,55.20%,90.10%,6.2,1.9
34,Giovanni Mpetshi Perricard [FRA],28,16-12,57.10%,70.20%,67.30%,532,21.80%,153,6.30%,17.80%,64.70%,79.70%,52.80%,64.20%,88.80%,6.2,1.8
35,Sebastian Baez [ARG],59,31-28,52.50%,60.30%,60.60%,134,2.80%,112,2.40%,8.40%,71.80%,63.70%,51.50%,56.30%,73.50%,6.7,2.7
36,Flavio Cobolli [ITA],62,35-27,56.50%,63.20%,63.10%,378,7.10%,213,4.00%,9.00%,55.20%,73.10%,50.90%,55.90%,79.90%,6.5,2.4
37,Tallon Griekspoor [NED],63,33-30,52.40%,67.20%,66.10%,577,11.10%,210,4.10%,11.30%,64.10%,75.30%,52.80%,59.50%,84.70%,6.3,2
38,Alex Michelsen [USA],64,34-30,53.10%,63.40%,63.20%,288,5.70%,149,3.00%,9.20%,67.90%,69.30%,51.00%,56.10%,79.10%,6.5,2.4
39,Jordan Thompson [AUS],59,35-24,59.30%,64.90%,62.50%,404,9.00%,72,1.60%,4.00%,60.10%,72.70%,53.10%,55.30%,80.80%,6.3,2.2
40,Alexandre Muller [FRA],37,17-20,45.90%,61.50%,61.30%,130,4.50%,70,2.40%,6.80%,64.50%,67.80%,50.10%,53.80%,75.20%,6.5,2.5
41,Nuno Borges [POR],49,24-25,49.00%,62.60%,62.10%,279,7.10%,142,3.60%,9.60%,62.60%,70.40%,49.50%,54.70%,75.60%,6.5,2.4
42,Matteo Arnaldi [ITA],53,28-25,52.80%,61.60%,60.70%,387,8.40%,176,3.80%,8.90%,56.70%,71.00%,49.40%,54.20%,76.80%,6.6,2.5
43,Gael Monfils [FRA],46,25-21,54.30%,64.80%,64.10%,410,10.80%,188,4.90%,12.40%,60.30%,73.80%,51.20%,58.50%,81.60%,6.3,2.2
44,Lorenzo Sonego [ITA],49,20-29,40.80%,66.40%,65.10%,317,8.40%,95,2.50%,7.70%,67.40%,73.60%,51.60%,55.90%,83.90%,6.2,2.1
45,Marcos Giron [USA],53,27-26,50.90%,64.30%,63.10%,263,6.50%,72,1.80%,4.50%,60.30%,73.10%,51.10%,53.50%,81.00%,6.3,2.3
46,Tomas Martin Etcheverry [ARG],60,31-29,51.70%,64.40%,62.80%,389,7.90%,104,2.10%,6.10%,65.60%,72.00%,49.80%,53.10%,81.90%,6.5,2.3
47,Luciano Darderi [ITA],50,24-26,48.00%,62.40%,61.50%,281,7.10%,122,3.10%,7.40%,58.50%,70.40%,51.10%,55.20%,77.80%,6.6,2.5
48,Miomir Kecmanovic [SRB],55,25-30,45.50%,63.90%,63.50%,243,5.60%,113,2.60%,6.80%,61.80%,70.80%,52.70%,56.50%,78.70%,6.2,2.3
49,Pedro Martinez [ESP],41,18-23,43.90%,59.70%,61.80%,95,2.90%,166,5.00%,16.10%,68.70%,65.70%,46.70%,55.60%,72.30%,6.5,2.6
50,Zizou Bergs [BEL],35,17-18,48.60%,65.00%,64.20%,262,8.70%,111,3.70%,9.80%,62.60%,72.60%,52.20%,57.90%,80.80%,6.3,2.2
