Rank,Name,Matches,Record,Win Pct.,Serv Pts. Won,In-Play Serv Pts. Won,Aces,Ace%,Double Faults,Double Fault%,Double Fault on 2nd,1st serves in%,1st serves won%,2nd serves won%,2nd serve in play won%,Service Games Won%,Pts/SG,Pts lost/SG
1,Jannik Sinner [ITA],7,7-0,100.00%,73.40%,72.70%,59,9.30%,16,2.50%,6.20%,59.30%,81.10%,62.30%,66.40%,95.30%,5.9,1.6
2,Carlos Alcaraz [ESP],24,20-4,83.30%,66.50%,67.20%,115,6.50%,74,4.20%,11.70%,64.10%,72.50%,55.90%,63.30%,85.00%,6.1,2.1
3,Alexander Zverev [GER],21,14-7,66.70%,68.10%,66.50%,173,10.70%,50,3.10%,10.10%,69.50%,73.70%,55.30%,61.50%,85.20%,6,1.9
4,Taylor Fritz [USA],20,14-6,70.00%,71.00%,67.80%,207,13.90%,29,2.00%,5.90%,66.90%,78.60%,55.60%,59.10%,92.10%,5.8,1.7
5,Novak Djokovic [SRB],18,12-6,66.70%,69.10%,67.00%,145,11.30%,30,2.30%,7.30%,68.00%,75.80%,55.00%,59.30%,88.20%,6.1,1.9
6,Jack Draper [GBR],18,14-4,77.80%,66.50%,64.70%,163,11.00%,48,3.20%,8.60%,62.40%,73.70%,54.50%,59.60%,83.80%,6.2,2.1
7,Alex De Minaur [AUS],27,20-7,74.10%,66.00%,66.70%,94,5.30%,66,3.70%,7.90%,53.10%,74.40%,56.40%,61.20%,83.60%,6.1,2.1
8,Andrey Rublev [RUS],18,10-8,55.60%,67.30%,65.70%,129,9.90%,36,2.80%,7.80%,64.50%,74.20%,54.90%,59.50%,83.80%,6,2
9,Daniil Medvedev [RUS],22,14-8,63.60%,64.00%,63.70%,152,9.80%,79,5.10%,12.40%,59.20%,74.00%,49.50%,56.60%,77.30%,6.1,2.2
10,Casper Ruud [NOR],18,13-5,72.20%,65.80%,65.00%,99,7.50%,37,2.80%,9.20%,69.50%,71.60%,52.60%,57.90%,84.50%,6.4,2.2
11,Lorenzo Musetti [ITA],17,12-5,70.60%,62.80%,63.10%,55,3.60%,40,2.60%,7.90%,66.70%,67.60%,53.20%,57.80%,77.70%,6.4,2.4
12,Tommy Paul [USA],21,15-6,71.40%,65.40%,64.40%,142,8.30%,53,3.10%,7.80%,60.20%,73.40%,53.30%,57.80%,82.90%,6.2,2.2
13,Holger Rune [DEN],20,11-9,55.00%,63.80%,64.00%,70,5.00%,44,3.10%,8.40%,62.30%,70.40%,52.90%,57.70%,78.50%,6.1,2.2
14,Arthur Fils [FRA],21,14-7,66.70%,65.10%,65.20%,115,6.90%,63,3.80%,9.90%,61.50%,73.30%,52.00%,57.70%,81.10%,6.2,2.2
15,Ben Shelton [USA],17,10-7,58.80%,66.70%,65.70%,146,9.40%,52,3.40%,9.40%,64.30%,73.10%,55.20%,61.00%,86.70%,6.4,2.1
16,Stefanos Tsitsipas [GRE],20,13-7,65.00%,68.50%,68.50%,123,8.20%,57,3.80%,9.70%,60.70%,77.40%,54.80%,60.70%,85.80%,6,1.9
17,Grigor Dimitrov [BUL],19,12-7,63.20%,65.20%,65.00%,106,8.90%,53,4.40%,11.40%,61.00%,74.30%,51.00%,57.50%,79.70%,6.2,2.2
18,Frances Tiafoe [USA],18,10-8,55.60%,63.10%,61.90%,143,8.90%,59,3.70%,8.50%,56.70%,73.40%,49.50%,54.10%,77.40%,6.6,2.4
19,Felix Auger Aliassime [CAN],25,17-8,68.00%,67.60%,65.60%,266,13.10%,76,3.70%,11.90%,68.70%,74.90%,51.80%,58.80%,84.50%,6.2,2
20,Tomas Machac [CZE],21,15-6,71.40%,65.60%,65.80%,126,8.40%,70,4.70%,12.30%,62.00%,74.80%,50.80%,57.90%,81.80%,6.1,2.1
21,Ugo Humbert [FRA],17,11-6,64.70%,67.80%,66.00%,136,10.90%,36,2.90%,7.10%,59.40%,77.60%,53.50%,57.60%,86.00%,6,1.9
22,Francisco Cerundolo [ARG],25,17-8,68.00%,63.40%,63.70%,94,5.10%,60,3.30%,8.80%,62.80%,69.00%,54.00%,59.20%,79.60%,6.4,2.3
23,Jakub Mensik [CZE],20,14-6,70.00%,67.10%,63.70%,302,17.60%,80,4.70%,11.90%,61.00%,79.20%,48.10%,54.60%,85.90%,6.4,2.1
24,Sebastian Korda [USA],12,6-6,50.00%,65.50%,63.70%,102,10.30%,30,3.00%,8.10%,62.90%,73.40%,52.00%,56.60%,84.10%,6.3,2.2
25,Alexei Popyrin [AUS],13,5-8,38.50%,63.70%,63.30%,90,8.50%,45,4.20%,11.50%,63.20%,73.70%,46.70%,52.70%,80.10%,6.4,2.3
26,Jiri Lehecka [CZE],21,14-7,66.70%,66.60%,65.00%,136,9.40%,39,2.70%,6.80%,60.70%,75.60%,52.60%,56.50%,86.80%,6.4,2.1
27,Karen Khachanov [RUS],13,5-8,38.50%,64.10%,62.80%,84,7.70%,27,2.50%,6.60%,62.60%,72.40%,50.20%,53.80%,78.70%,6.3,2.3
28,Hubert Hurkacz [POL],14,7-7,50.00%,69.90%,65.20%,169,16.70%,18,1.80%,5.10%,65.20%,77.90%,54.70%,57.60%,88.60%,5.8,1.7
29,Denis Shapovalov [CAN],19,12-7,63.20%,63.40%,65.40%,150,10.40%,124,8.60%,19.90%,56.90%,74.30%,49.00%,61.20%,80.70%,6.4,2.3
30,Alejandro Davidovich Fokina [ESP],27,18-9,66.70%,61.80%,61.60%,90,4.00%,49,2.20%,6.40%,65.40%,66.80%,52.20%,55.80%,77.50%,6.7,2.6
31,Alejandro Tabilo [CHI],14,4-10,28.60%,60.30%,59.80%,82,6.00%,44,3.20%,8.30%,61.40%,68.30%,47.50%,51.90%,77.60%,7,2.8
32,Brandon Nakashima [USA],22,12-10,54.50%,68.00%,64.90%,175,11.70%,24,1.60%,4.50%,64.50%,75.80%,53.90%,56.50%,85.10%,6,1.9
33,Matteo Berrettini [ITA],19,11-8,57.90%,69.70%,66.50%,210,13.50%,31,2.00%,6.70%,70.10%,76.50%,53.70%,57.50%,87.70%,6.2,1.9
34,Giovanni Mpetshi Perricard [FRA],12,6-6,50.00%,70.00%,68.00%,159,17.70%,49,5.50%,15.60%,65.10%,76.40%,58.00%,68.70%,91.90%,6.6,2
35,Sebastian Baez [ARG],20,12-8,60.00%,59.90%,60.30%,32,2.10%,31,2.00%,7.10%,71.40%,63.70%,50.50%,54.30%,71.40%,6.4,2.6
36,Flavio Cobolli [ITA],16,7-9,43.80%,60.70%,60.90%,61,5.50%,44,3.90%,8.50%,53.40%,66.40%,54.00%,59.00%,73.80%,6.5,2.6
37,Tallon Griekspoor [NED],22,14-8,63.60%,66.80%,65.70%,207,9.90%,72,3.40%,10.00%,65.50%,74.90%,51.50%,57.10%,86.90%,6.9,2.3
38,Alex Michelsen [USA],22,13-9,59.10%,63.60%,63.50%,105,6.30%,58,3.50%,10.40%,66.60%,70.40%,50.20%,56.00%,79.00%,6.5,2.4
39,Jordan Thompson [AUS],12,6-6,50.00%,64.60%,63.20%,75,8.00%,23,2.50%,6.00%,58.80%,71.50%,54.70%,58.10%,78.40%,6.1,2.2
40,Alexandre Muller [FRA],20,12-8,60.00%,62.70%,62.40%,71,4.20%,35,2.10%,6.40%,67.50%,68.60%,50.40%,53.80%,77.30%,6.6,2.5
41,Nuno Borges [POR],25,14-11,56.00%,64.30%,63.60%,125,6.50%,51,2.70%,8.20%,67.70%,69.70%,52.70%,57.50%,79.90%,6.3,2.3
42,Matteo Arnaldi [ITA],16,8-8,50.00%,64.10%,63.50%,111,8.30%,51,3.80%,8.80%,56.40%,72.50%,53.30%,58.40%,79.60%,6.5,2.3
43,Gael Monfils [FRA],21,15-6,71.40%,68.30%,68.50%,207,11.30%,102,5.60%,14.10%,60.50%,79.10%,51.80%,60.30%,87.50%,6.2,2
44,Lorenzo Sonego [ITA],18,8-10,44.40%,65.60%,64.30%,126,7.40%,36,2.10%,6.20%,65.60%,73.90%,49.70%,52.90%,83.80%,6.5,2.3
45,Marcos Giron [USA],18,11-7,61.10%,62.80%,61.40%,91,6.30%,23,1.60%,3.90%,59.60%,70.00%,52.20%,54.40%,78.20%,6.4,2.4
46,Tomas Martin Etcheverry [ARG],19,8-11,42.10%,63.20%,61.20%,110,8.10%,26,1.90%,5.00%,61.90%,71.10%,50.30%,53.00%,79.50%,6.4,2.4
47,Luciano Darderi [ITA],15,7-8,46.70%,62.60%,61.80%,68,6.80%,28,2.80%,7.10%,60.60%,68.60%,53.50%,57.60%,77.60%,6.4,2.4
48,Miomir Kecmanovic [SRB],21,12-9,57.10%,65.80%,65.00%,112,6.80%,41,2.50%,6.70%,62.70%,74.60%,51.00%,54.60%,83.80%,6.3,2.2
49,Pedro Martinez [ESP],20,9-11,45.00%,58.60%,60.60%,16,1.30%,51,4.10%,14.40%,71.40%,62.90%,47.90%,55.90%,68.80%,6.5,2.7
50,Zizou Bergs [BEL],23,15-8,65.20%,64.60%,63.40%,139,9.50%,51,3.50%,8.40%,58.70%,74.20%,51.10%,55.80%,80.00%,6.3,2.2
